user_id,transaction_id,transaction_date,transaction_time,store,product_name,quantity,unit_price,total_price,total_amount,total_items
1,1,1403-01-01,23:38:58,Jewelry Store,Jewelry Store Product 38,1,1658456.89,1658456.89,1658456.89,1
1,2,1403-01-02,16:41:29,Electronics Store,Electronics Store Product 82,1,1462060.36,1462060.36,1462060.36,1
1,3,1403-01-03,07:45:32,Cosmetics Store,Cosmetics Store Product 26,1,105516.1,105516.1,323033.43,2
1,3,1403-01-03,07:45:32,Cosmetics Store,Cosmetics Store Product 17,1,217517.33,217517.33,323033.43,2
1,4,1403-01-04,15:22:12,Hardware Store,Hardware Store Product 40,1,1949500.13,1949500.13,6191593.89,6
1,4,1403-01-04,15:22:12,Hardware Store,Hardware Store Product 61,1,80083.85,80083.85,6191593.89,6
1,4,1403-01-04,15:22:12,Hardware Store,Hardware Store Product 11,2,1134312.46,2268624.92,6191593.89,6
1,4,1403-01-04,15:22:12,Hardware Store,Hardware Store Product 43,1,958058.16,958058.16,6191593.89,6
1,4,1403-01-04,15:22:12,Hardware Store,Hardware Store Product 13,1,935326.83,935326.83,6191593.89,6
1,5,1403-01-05,12:51:31,Cosmetics Store,Cosmetics Store Product 20,2,286865.22,573730.44,1184069.49,5
1,5,1403-01-05,12:51:31,Cosmetics Store,Cosmetics Store Product 21,1,25830.91,25830.91,1184069.49,5
1,5,1403-01-05,12:51:31,Cosmetics Store,Cosmetics Store Product 24,1,376422.09,376422.09,1184069.49,5
1,5,1403-01-05,12:51:31,Cosmetics Store,Cosmetics Store Product 2,1,208086.05,208086.05,1184069.49,5
1,6,1403-01-08,11:41:49,Electronics Store,Electronics Store Product 123,1,7129969.33,7129969.33,14459152.92,2
1,6,1403-01-08,11:41:49,Electronics Store,Electronics Store Product 79,1,7329183.59,7329183.59,14459152.92,2
1,7,1403-01-10,00:48:09,Florist Store,Florist Store Product 41,1,34768.16,34768.16,304614.03,4
1,7,1403-01-10,00:48:09,Florist Store,Florist Store Product 19,1,94558.03,94558.03,304614.03,4
1,7,1403-01-10,00:48:09,Florist Store,Florist Store Product 40,2,87643.92,175287.84,304614.03,4
1,8,1403-01-10,05:07:57,Home Appliance Store,Home Appliance Store Product 102,1,14843754.32,14843754.32,14843754.32,1
1,9,1403-01-10,15:33:28,Music Store,Music Store Product 21,4,82831.19,331324.76,331324.76,4
1,10,1403-01-11,19:43:15,Home Appliance Store,Home Appliance Store Product 43,2,17280927.01,34561854.02,34561854.02,2
1,11,1403-01-11,20:01:55,Music Store,Music Store Product 3,2,12297.36,24594.72,24594.72,2
1,12,1403-01-12,19:23:25,Florist Store,Florist Store Product 8,6,22594.63,135567.78,156286.92,8
1,12,1403-01-12,19:23:25,Florist Store,Florist Store Product 16,1,5424.67,5424.67,156286.92,8
1,12,1403-01-12,19:23:25,Florist Store,Florist Store Product 47,1,15294.47,15294.47,156286.92,8
1,13,1403-01-13,12:31:35,Pet Store,Pet Store Product 26,1,478357.82,478357.82,801249.18,3
1,13,1403-01-13,12:31:35,Pet Store,Pet Store Product 25,2,161445.68,322891.36,801249.18,3
1,14,1403-01-14,21:54:52,Bookstore,Bookstore Product 8,1,58432.76,58432.76,1523972.4,6
1,14,1403-01-14,21:54:52,Bookstore,Bookstore Product 43,1,422441.35,422441.35,1523972.4,6
1,14,1403-01-14,21:54:52,Bookstore,Bookstore Product 14,3,328855.46,986566.38,1523972.4,6
1,14,1403-01-14,21:54:52,Bookstore,Bookstore Product 76,1,56531.91,56531.91,1523972.4,6
1,15,1403-01-16,01:32:02,Music Store,Music Store Product 52,1,190376.72,190376.72,285650.97,2
1,15,1403-01-16,01:32:02,Music Store,Music Store Product 60,1,95274.25,95274.25,285650.97,2
1,16,1403-01-16,09:31:15,Jewelry Store,Jewelry Store Product 2,1,33880318.55,33880318.55,68285466.91,3
1,16,1403-01-16,09:31:15,Jewelry Store,Jewelry Store Product 48,1,21676230.11,21676230.11,68285466.91,3
1,16,1403-01-16,09:31:15,Jewelry Store,Jewelry Store Product 48,1,12728918.25,12728918.25,68285466.91,3
1,17,1403-01-16,19:27:46,Hardware Store,Hardware Store Product 41,4,875229.29,3500917.16,4210807.49,5
1,17,1403-01-16,19:27:46,Hardware Store,Hardware Store Product 35,1,709890.33,709890.33,4210807.49,5
1,18,1403-01-17,13:58:00,Home Appliance Store,Home Appliance Store Product 54,2,1484890.0,2969780.0,19715566.73,3
1,18,1403-01-17,13:58:00,Home Appliance Store,Home Appliance Store Product 112,1,16745786.73,16745786.73,19715566.73,3
1,19,1403-01-17,19:16:03,Supermarket,Supermarket Product 69,23,84357.39,1940219.97,2189625.33,26
1,19,1403-01-17,19:16:03,Supermarket,Supermarket Product 118,3,83135.12,249405.36,2189625.33,26
1,20,1403-01-18,03:05:11,Supermarket,Supermarket Product 91,17,93545.89,1590280.13,2864152.97,44
1,20,1403-01-18,03:05:11,Supermarket,Supermarket Product 22,25,47880.16,1197004.0,2864152.97,44
1,20,1403-01-18,03:05:11,Supermarket,Supermarket Product 127,2,38434.42,76868.84,2864152.97,44
1,21,1403-01-18,22:53:28,Bookstore,Bookstore Product 43,3,273421.04,820263.12,820263.12,3
1,22,1403-01-19,08:15:22,Florist Store,Florist Store Product 14,10,75445.39,754453.9,1025599.98,14
1,22,1403-01-19,08:15:22,Florist Store,Florist Store Product 3,4,67786.52,271146.08,1025599.98,14
1,23,1403-01-20,02:10:44,Chain Store,Chain Store Product 11,6,96691.89,580151.34,886281.74,10
1,23,1403-01-20,02:10:44,Chain Store,Chain Store Product 86,4,76532.6,306130.4,886281.74,10
1,24,1403-01-20,03:34:52,Cosmetics Store,Cosmetics Store Product 22,1,232914.04,232914.04,232914.04,1
1,25,1403-01-20,09:30:36,Furniture Store,Furniture Store Product 38,1,1753453.63,1753453.63,1753453.63,1
1,26,1403-01-20,19:30:37,Music Store,Music Store Product 49,1,107450.1,107450.1,231280.84,5
